Область,Тергромада,Програма,Тематика,Кількість начань
Київська,Маловільшанська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Київська,Маловільшанська,"Програма ""U-LEAD з Європою""",Громада з нуля,1
Київська,Фурсівська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Київська,Фурсівська,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,1
Київська,Фурсівська,"Програма ""U-LEAD з Європою""",Громада з нуля,2
Київська,Фурсівська,"Програма ""U-LEAD з Європою""",Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Київська,Богуславська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Київська,Богуславська,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,3
Київська,Богуславська,"Програма ""U-LEAD з Європою""",Громада з нуля,2
Київська,Богуславська,"Програма ""U-LEAD з Європою""",Навчання з надання послуг і управління інфраструктурою на місцевому рівні,2
Київська,Медвинська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Київська,Медвинська,"Програма ""U-LEAD з Європою""",Громада з нуля,3
Київська,Медвинська,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,2
Київська,Медвинська,"Програма ""U-LEAD з Європою""",Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Київська,Вороньківська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Київська,Вороньківська,"Програма ""U-LEAD з Європою""",Громада з нуля,3
Київська,Вороньківська,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,1
Київська,Золочівська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Київська,Золочівська,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,1
Київська,Золочівська,"Програма ""U-LEAD з Європою""",Громада з нуля,2
Київська,Гірська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Київська,Гірська,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,1
Київська,Гірська,"Програма ""U-LEAD з Європою""",Громада з нуля,2
Київська,Пристолична,"Програма ""U-LEAD з Європою""",Громада з нуля,1
Київська,Бородянська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Київська,Бородянська,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,4
Київська,Бородянська,"Програма ""U-LEAD з Європою""",Громада з нуля,2
Київська,Бородянська,"Програма ""U-LEAD з Європою""",Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Київська,Пісківська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Київська,Пісківська,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,1
Київська,Пісківська,"Програма ""U-LEAD з Європою""",Громада з нуля,3
Київська,Немішаївська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Київська,Немішаївська,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,1
Київська,Немішаївська,"Програма ""U-LEAD з Європою""",Громада з нуля,1
Київська,Великодимерська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Київська,Великодимерська,"Програма ""U-LEAD з Європою""",Громада з нуля,2
Київська,Великодимерська,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,2
Київська,Великодимерська,"Програма ""U-LEAD з Європою""",Навчання з надання послуг і управління інфраструктурою на місцевому рівні,2
Київська,Калитянська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Київська,Калинівська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Київська,Калинівська,"Програма ""U-LEAD з Європою""",Громада з нуля,4
Київська,Калинівська,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,4
Київська,Зазимська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Київська,Зазимська,"Програма ""U-LEAD з Європою""",Громада з нуля,5
Київська,Зазимська,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,1
Київська,Зазимська,"Програма ""U-LEAD з Європою""",Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Київська,Глевахівська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Київська,Глевахівська,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,2
Київська,Глевахівська,"Програма ""U-LEAD з Європою""",Громада з нуля,3
Київська,Глевахівська,"Програма ""U-LEAD з Європою""",Навчання з надання послуг і управління інфраструктурою на місцевому рівні,2
Київська,Гребінківська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Київська,Гребінківська,"Програма ""U-LEAD з Європою""",Громада з нуля,1
Київська,Ковалівська,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,3
Київська,Володарська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Київська,Володарська,"Програма ""U-LEAD з Європою""",Громада з нуля,1
Київська,Вишгородська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Київська,Вишгородська,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,1
Київська,Димерська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Київська,Петрівська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Київська,Пірнівська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Київська,Пірнівська,"Програма ""U-LEAD з Європою""",Громада з нуля,2
Київська,Пірнівська,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,3
Київська,Згурівська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Київська,Іванківська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Київська,Кагарлицька,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Київська,Кагарлицька,"Програма ""U-LEAD з Європою""",Громада з нуля,2
Київська,Боярська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Київська,Боярська,"Програма ""U-LEAD з Європою""",Громада з нуля,4
Київська,Боярська,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,4
Київська,Вишнева,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Київська,Вишнева,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,1
Київська,Вишнева,"Програма ""U-LEAD з Європою""",Громада з нуля,1
Київська,Чабанівська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Київська,Чабанівська,"Програма ""U-LEAD з Європою""",Громада з нуля,1
Київська,Чабанівська,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,1
Київська,Білогородська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Київська,Дмитрівська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Київська,Борщагівська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Київська,Феодосіївська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Київська,Макарівська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Київська,Макарівська,"Програма ""U-LEAD з Європою""",Громада з нуля,4
Київська,Макарівська,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,4
Київська,Макарівська,"Програма ""U-LEAD з Європою""",Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Київська,Бишівська,"Програма ""U-LEAD з Європою""",Громада з нуля,1
Київська,Бишівська,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,1
Київська,Миронівська,"Програма ""U-LEAD з Європою""",Громада з нуля,4
Київська,Миронівська,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,4
Київська,Обухівська,"Програма ""U-LEAD з Європою""",Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Київська,Обухівська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Київська,Обухівська,"Програма ""U-LEAD з Європою""",Громада з нуля,4
Київська,Обухівська,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,1
Київська,Обухівська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Київська,Українська,"Програма ""U-LEAD з Європою""",Навчання з надання послуг і управління інфраструктурою на місцевому рівні,2
Київська,Українська,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,6
Київська,Українська,"Програма ""U-LEAD з Європою""",Громада з нуля,1
Київська,Дівичківська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Київська,Дівичківська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Київська,Дівичківська,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,4
Київська,Дівичківська,"Програма ""U-LEAD з Європою""",Громада з нуля,2
Київська,Студениківська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Київська,Студениківська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,2
Київська,Студениківська,"Програма ""U-LEAD з Європою""",Громада з нуля,6
Київська,Студениківська,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,4
Київська,Студениківська,"Програма ""U-LEAD з Європою""",Навчання з надання послуг і управління інфраструктурою на місцевому рівні,2
Київська,Ташанська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Київська,Ташанська,"Програма ""U-LEAD з Європою""",Громада з нуля,2
Київська,Ташанська,"Програма ""U-LEAD з Європою""",Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Київська,Циблівська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Київська,Циблівська,"Програма ""U-LEAD з Європою""",Громада з нуля,3
Київська,Циблівська,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,1
Київська,Циблівська,"Програма ""U-LEAD з Європою""",Навчання з надання послуг і управління інфраструктурою на місцевому рівні,2
Київська,Поліська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Київська,Поліська,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,1
Київська,Рокитнянська,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,1
Київська,Рокитнянська,"Програма ""U-LEAD з Європою""",Громада з нуля,2
Київська,Рокитнянська,"Програма ""U-LEAD з Європою""",Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Київська,Сквирська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Київська,Сквирська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,4
Київська,Ставищенська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Київська,Таращанська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Київська,Таращанська,"Програма ""U-LEAD з Європою""",Громада з нуля,2
Київська,Тетіївська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Київська,Тетіївська,"Програма ""U-LEAD з Європою""",Громада з нуля,1
Київська,Кожанська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Київська,Кожанська,"Програма ""U-LEAD з Європою""",Громада з нуля,2
Київська,Кожанська,"Програма ""U-LEAD з Європою""",Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Київська,Томашівська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Київська,Томашівська,"Програма ""U-LEAD з Європою""",Громада з нуля,4
Київська,Томашівська,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,3
Київська,Томашівська,"Програма ""U-LEAD з Європою""",Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Київська,Яготинська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Київська,Яготинська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Київська,Яготинська,"Програма ""U-LEAD з Європою""",Громада з нуля,3
Київська,Яготинська,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,2
Київська,Яготинська,"Програма ""U-LEAD з Європою""",Навчання з надання послуг і управління інфраструктурою на місцевому рівні,2
Кіровоградська,Кропивницька,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Кіровоградська,Кропивницька,"Програма ""U-LEAD з Європою""",Громада з нуля,1
Кіровоградська,Кропивницька,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,3
Кіровоградська,Олександрійська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Кіровоградська,Олександрійська,"Програма ""U-LEAD з Європою""",Громада з нуля,3
Кіровоградська,Олександрійська,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,1
Кіровоградська,Пантаївська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Кіровоградська,Пантаївська,"Програма ""U-LEAD з Європою""",Громада з нуля,2
Кіровоградська,Знам’янська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Кіровоградська,Знам’янська,"Програма ""U-LEAD з Європою""",Громада з нуля,5
Кіровоградська,Знам’янська,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,2
Кіровоградська,Світловодська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Кіровоградська,Світловодська,"Програма ""U-LEAD з Європою""",Громада з нуля,1
Кіровоградська,Новопразька,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Кіровоградська,Новопразька,"Програма ""U-LEAD з Європою""",Громада з нуля,2
Кіровоградська,Новопразька,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,1
Кіровоградська,Приютівська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,3
Кіровоградська,Приютівська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Кіровоградська,Приютівська,"Програма ""U-LEAD з Європою""",Громада з нуля,3
Кіровоградська,Приютівська,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,3
Кіровоградська,Попельнастівська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Кіровоградська,Попельнастівська,"Програма ""U-LEAD з Європою""",Громада з нуля,2
Кіровоградська,Попельнастівська,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,1
Кіровоградська,Олександрівська,"Програма ""U-LEAD з Європою""",Громада з нуля,2
Кіровоградська,Бобринецька,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Кіровоградська,Бобринецька,Програма «Децентралізація приносить кращі результати та ефективність» (DOBRE),Навчання загального управлінського характеру,2
Кіровоградська,Бобринецька,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Кіровоградська,Бобринецька,"Програма ""U-LEAD з Європою""",Громада з нуля,1
Кіровоградська,Бобринецька,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,4
Кіровоградська,Бобринецька,"Програма ""U-LEAD з Європою""",Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Кіровоградська,Кетрисанівська,"Програма ""U-LEAD з Європою""",Громада з нуля,1
Кіровоградська,Кетрисанівська,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,1
Кіровоградська,Гайворонська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Кіровоградська,Гайворонська,"Програма ""U-LEAD з Європою""",Громада з нуля,3
Кіровоградська,Гайворонська,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,3
Кіровоградська,Заваллівська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Кіровоградська,Заваллівська,"Програма ""U-LEAD з Європою""",Громада з нуля,3
Кіровоградська,Голованівська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Кіровоградська,Голованівська,"Програма ""U-LEAD з Європою""",Громада з нуля,1
Кіровоградська,Побузька,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Кіровоградська,Побузька,"Програма ""U-LEAD з Європою""",Громада з нуля,2
Кіровоградська,Побузька,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,2
Кіровоградська,Перегонівська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Кіровоградська,Перегонівська,"Програма ""U-LEAD з Європою""",Громада з нуля,3
Кіровоградська,Помічнянська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Кіровоградська,Помічнянська,"Програма ""U-LEAD з Європою""",Громада з нуля,1
Кіровоградська,Помічнянська,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,1
Кіровоградська,Добровеличківська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Кіровоградська,Добровеличківська,"Програма ""U-LEAD з Європою""",Громада з нуля,3
Кіровоградська,Добровеличківська,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,1
Кіровоградська,Піщанобрідська,"Програма ""U-LEAD з Європою""",Громада з нуля,3
Кіровоградська,Піщанобрідська,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,2
Кіровоградська,Тишківська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Кіровоградська,Долинська,"Програма ""U-LEAD з Європою""",Громада з нуля,3
Кіровоградська,Гурівська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Кіровоградська,Гурівська,"Програма ""U-LEAD з Європою""",Громада з нуля,4
Кіровоградська,Гурівська,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,3
Кіровоградська,Дмитрівська,"Програма ""U-LEAD з Європою""",Навчання з надання послуг і управління інфраструктурою на місцевому рівні,2
Кіровоградська,Дмитрівська,Програма «Децентралізація приносить кращі результати та ефективність» (DOBRE),Навчання загального управлінського характеру,1
Кіровоградська,Дмитрівська,"Програма ""U-LEAD з Європою""",Громада з нуля,2
Кіровоградська,Дмитрівська,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,4
Кіровоградська,Дмитрівська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Кіровоградська,Суботцівська,"Програма ""U-LEAD з Європою""",Громада з нуля,1
Кіровоградська,Аджамська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,3
Кіровоградська,Аджамська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Кіровоградська,Аджамська,"Програма ""U-LEAD з Європою""",Громада з нуля,3
Кіровоградська,Аджамська,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,3
Кіровоградська,Великосеверинівська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Кіровоградська,Великосеверинівська,"Програма ""U-LEAD з Європою""",Громада з нуля,3
Кіровоградська,Великосеверинівська,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,4
Кіровоградська,Великосеверинівська,"Програма ""U-LEAD з Європою""",Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Кіровоградська,Катеринівська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Кіровоградська,Катеринівська,"Програма ""U-LEAD з Європою""",Громада з нуля,3
Кіровоградська,Катеринівська,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,1
Кіровоградська,Первозванівська,"Програма ""U-LEAD з Європою""",Громада з нуля,2
Кіровоградська,Соколівська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Кіровоградська,Соколівська,"Програма ""U-LEAD з Європою""",Громада з нуля,2
Кіровоградська,Соколівська,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,5
Кіровоградська,Компаніївська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Кіровоградська,Компаніївська,"Програма ""U-LEAD з Європою""",Громада з нуля,5
Кіровоградська,Компаніївська,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,1
Кіровоградська,Маловисківська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Кіровоградська,Маловисківська,Програма «Децентралізація приносить кращі результати та ефективність» (DOBRE),Навчання загального управлінського характеру,1
Кіровоградська,Маловисківська,"Програма ""U-LEAD з Європою""",Громада з нуля,3
Кіровоградська,Маловисківська,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,3
Кіровоградська,Маловисківська,"Програма ""U-LEAD з Європою""",Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Кіровоградська,Смолінська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Кіровоградська,Смолінська,Програма «Децентралізація приносить кращі результати та ефективність» (DOBRE),Навчання загального управлінського характеру,1
Кіровоградська,Смолінська,"Програма ""U-LEAD з Європою""",Громада з нуля,1
Кіровоградська,Смолінська,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,2
Кіровоградська,Мар’янівська,"Програма ""U-LEAD з Європою""",Громада з нуля,4
Кіровоградська,Мар’янівська,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,1
Кіровоградська,Мар’янівська,"Програма ""U-LEAD з Європою""",Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Кіровоградська,Злинська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Кіровоградська,Злинська,"Програма ""U-LEAD з Європою""",Громада з нуля,3
Кіровоградська,Злинська,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,1
Кіровоградська,Новгородківська,"Програма ""U-LEAD з Європою""",Громада з нуля,2
Кіровоградська,Новгородківська,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,1
Кіровоградська,Новоархангельська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Кіровоградська,Надлацька,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Кіровоградська,Підвисоцька,"Програма ""U-LEAD з Європою""",Громада з нуля,1
Кіровоградська,Новомиргородська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
